,Entity,Year,GHG,Total (CO₂),Coal (CO₂),Oil (CO₂),Gas (CO₂),Cement (CO₂),Flaring (CO₂),Other (CO₂),Per Capita (CO₂)
32105,World,1950,16669636000.0,5929341669.0,3855336752.0,1575249001.0,353244088.0,66899612.00000001,73624416.0,,2372380.0
32106,World,1951,17591742000.0,6381405796.0,4059088780.0,1744892839.0,416281694.0,75765973.0,79875260.0,,2509272.0
32107,World,1952,17698888000.0,6467437061.0,4008095684.0,1840703006.0,447173762.0,80746256.0,85363804.0,,2496819.0
32108,World,1953,18106272000.0,6650861325.0,4042726283.0,1956171565.0,474614985.0,89545662.0,81348030.0,,2519000.0
32109,World,1954,18767930000.0,6789497344.0,4038464051.0,2069124602.0,501441702.0,97133677.0,77612011.0,,2522121.0
32110,World,1955,19766900000.0,7443860780.0,4371639470.0,2313649501.0,547331991.0,107435670.0,96835899.0,,2710730.0
32111,World,1956,20498287000.0,7925980430.0,4595993014.0,2510938198.0,587346250.0,116487600.0,108173769.0,,2829694.0
32112,World,1957,21006020000.0,8185613618.0,4680658608.0,2622476903.0,646819478.0,122451564.0,106385515.0,,2864239.0
32113,World,1958,21251504000.0,8417159673.0,4753322489.0,2726862207.0,706004693.0,129694036.0,95114847.0,,2886436.0
32114,World,1959,22477308000.0,8854662229.0,4947025862.0,2903993221.0,758416270.0,145244794.0,91693532.0,,2981074.0
32115,World,1960,22127307000.0,9386421315.0,5151947673.0,3125705322.0,834727093.0,157393826.0,89140213.0,,3108876.0
32116,World,1961,22371980000.0,9414382414.0,4939332554.0,3313261581.0,882206028.0,164145204.0,86218496.0,,3068203.0
32117,World,1962,22341622000.0,9746555959.0,4924526002.0,3561588443.0,967866908.0,176366780.0,85930795.0,,3117215.0
32118,World,1963,22862530000.0,10266047215.0,5104290492.0,3806506693.0,1047008086.0,185984375.0,90506188.0,,3212377.0
32119,World,1964,23258208000.0,10823618038.0,5209605962.0,4107030036.0,1153050711.0,206159007.0,112791867.0,,3312799.0
32120,World,1965,23714190000.0,11309689270.0,5285710133.0,4411812002.0,1230729679.0,216462682.0,130442812.0,,3389065.0
32121,World,1966,24118213000.0,11861708483.0,5346639857.0,4761200337.0,1340035601.0,233045698.0,144566086.0,,3482166.0
32122,World,1967,24786098000.0,12236328480.0,5259162776.0,5076133525.0,1433128842.0,239920781.0,190782930.0,,3520792.0
32123,World,1968,25522776000.0,12904335728.0,5317465238.0,5529308829.0,1559740025.0,255428240.0,203800258.0,,3638293.0
32124,World,1969,27101106000.0,13760839401.0,5516121428.0,5979449873.0,1708681003.0,270844454.0,244034831.0,,3800649.0
32125,World,1970,28266830000.0,14898156369.0,5696572459.0,6800143133.0,1790857266.0,288488734.0,277744916.0,,4031551.000000001
32126,World,1971,28280381000.0,15502785712.0,5698278184.0,7201511391.0,1933497167.0,303390473.0,321447082.0,,4111967.0
32127,World,1972,29437508000.0,16223439708.0,5689857760.0,7764815336.0,2052245758.0,321556653.0,346891885.0,,4219579.0
32128,World,1973,30340880000.0,17083500596.999998,5861542457.0,8223545587.000001,2204103267.0,340518733.0,402163470.0,,4357756.0
32129,World,1974,30245190000.0,17009382689.999998,5860019979.0,8105396320.0,2259212366.0,340997001.0,391369346.0,,4257117.0
32130,World,1975,30411125000.0,17049980595.0,6034681209.0,8036572247.0,2255809257.0,339041537.0,336707195.0,,4189764.000000001
32131,World,1976,31535469000.0,17985247032.0,6260035204.0,8538589961.0,2387141956.0,354048332.0,395414836.0,,4341635.0
32132,World,1977,32603044000.0,18494654275.0,6412418105.0,8838904849.0,2441411881.0,370759017.0,381468584.0,,4387014.0
32133,World,1978,33151205000.0,19063958332.0,6521472217.0,9156012650.0,2550660145.0,394564719.0,390172798.0,,4444168.0
32134,World,1979,33198746000.0,19603006422.0,6828324486.0,9272953114.0,2689359591.0,399755768.0,360149588.0,,4490353.0
32135,World,1980,33347820000.0,19482445121.0,7008475541.0,8948339085.0,2758461545.0,402517324.0,316449252.0,,4383981.0
